epoch,train loss,val loss,val accuracy,val macro-F1,lr,seconds
1,4.806327819824219,4.067839152196731,0.015028901734104046,0.006431275199161585,3.3333333333333335e-05,3.9187939167022705
2,4.64315938949585,3.8389368355717175,0.048554913294797684,0.02114860926527874,6.666666666666667e-05,3.9427876472473145
3,4.407154560089111,3.649565422584162,0.07663088356729975,0.028204880338901006,0.0001,3.9035513401031494
4,4.174712181091309,3.420766051833439,0.17076796036333608,0.06358832762297217,0.0001,3.9244349002838135
5,3.9748873710632324,3.2722634885647786,0.21519405450041287,0.10168149075007325,9.944154131125642e-05,3.9586009979248047
6,3.8165605068206787,3.1767237957010184,0.270355078447564,0.11136741835953619,9.777864028930705e-05,3.953355312347412
7,3.6591782569885254,3.0134645295871576,0.2857142857142857,0.1370918869606552,9.504844339512095e-05,3.969133138656616
8,3.51310658454895,3.0143678764387363,0.2564822460776218,0.12082252711310608,9.131193871579975e-05,3.8937389850616455
9,3.412184238433838,2.9077847805227948,0.22791081750619324,0.11064427748660056,8.665259359149132e-05,3.9235243797302246
10,3.279064178466797,2.777907482323619,0.3014037985136251,0.1804538388142807,8.117449009293668e-05,3.9552979469299316
11,3.1847407817840576,2.668463280376179,0.3232039636663914,0.20746986236780116,7.500000000000001e-05,3.882674217224121
12,3.057626485824585,2.6095073162869515,0.3943848059454996,0.2423242889830377,6.826705121831976e-05,3.9307005405426025
13,2.9698007106781006,2.504859963455641,0.3676300578034682,0.2421363921517481,6.112604669781572e-05,3.921639919281006
14,2.8783905506134033,2.5191083011894952,0.3904211395540875,0.251216696963529,5.373650467932122e-05,3.9364140033721924
15,2.7684783935546875,2.4375265177373153,0.40594549958711806,0.26019952437737776,4.626349532067879e-05,3.933375120162964
16,2.7029566764831543,2.409808008538899,0.4024772914946325,0.26554288817903293,3.887395330218429e-05,3.893920660018921
17,2.6441924571990967,2.3187561332834936,0.401981833195706,0.273790430536492,3.173294878168025e-05,3.9354875087738037
18,2.593125581741333,2.3222176539218693,0.45119735755573903,0.29860748100866574,2.500000000000001e-05,3.9273219108581543
19,2.534078598022461,2.2742372797108406,0.43996696944673824,0.2838839293531145,1.8825509907063327e-05,3.8998522758483887
20,2.5110175609588623,2.2524845728492267,0.42758051197357555,0.30049537493347106,1.3347406408508695e-05,3.956900119781494
21,2.471625566482544,2.2502315202692538,0.43715937241948805,0.3026023915726184,8.688061284200266e-06,3.8896243572235107
22,2.465193510055542,2.231115227351988,0.4495458298926507,0.3117726887245702,4.951556604879048e-06,3.9142186641693115
23,2.4649384021759033,2.239248413767921,0.4477291494632535,0.309071897138377,2.221359710692961e-06,3.9528729915618896
24,2.446208953857422,2.239062124948478,0.45103220478943024,0.30429668439250673,5.584586887435739e-07,3.915156602859497
