epoch,train loss,val loss,val accuracy,val macro-F1,lr,seconds
1,3.366588592529297,3.034277376431655,0.27101568951279936,0.2052345789756991,9.999999999999999e-05,19.244741201400757
2,1.9311487674713135,2.1340001341727626,0.45466556564822463,0.3708493609703786,0.00019999999999999998,19.217886924743652
3,1.4585896730422974,2.2054711810426215,0.37159372419488024,0.4097001537885697,0.0003,19.245976209640503
4,1.1855053901672363,1.6900375903686347,0.5871180842279108,0.5062417987753325,0.0003,19.23875904083252
5,1.0526187419891357,1.5482407678758479,0.6388109000825763,0.5180922314024617,0.0002983246239337692,19.242081880569458
6,0.971169114112854,1.55578446821375,0.6426094137076797,0.5329470976508356,0.00029333592086792107,19.22989249229431
7,0.9067251682281494,1.5018499028672865,0.6553261767134599,0.5644582914415072,0.0002851453301853628,19.206395626068115
8,0.8545423150062561,1.4255285235104926,0.6706853839801816,0.5960663157866998,0.00027393581614739923,19.247632026672363
9,0.8150503635406494,1.2797378650684184,0.7312964492155244,0.629204731142762,0.0002599577807744739,19.28764533996582
10,0.7826728224754333,1.4479788914482816,0.662262592898431,0.5758533009591088,0.00024352347027881003,19.23492670059204
11,0.7430438995361328,1.1825334849188291,0.7448389760528489,0.6565610028856267,0.000225,19.242558002471924
12,0.7234375476837158,1.1804253391152468,0.7601981833195706,0.6612516886594436,0.00020480115365495926,19.24137854576111
13,0.6911651492118835,1.1273973388971128,0.7811725846407928,0.68523357211135,0.00018337814009344714,19.26648783683777
14,0.6639137864112854,1.0634379208727773,0.795045417010735,0.7065606106598676,0.00016120951403796364,19.236321449279785
15,0.6442517042160034,1.1315276038046223,0.7737407101568952,0.7047062339013058,0.00013879048596203636,19.216111183166504
16,0.6366432309150696,1.039759556180086,0.8044591246903385,0.7184629776571108,0.00011662185990655284,19.256551027297974
17,0.6140802502632141,1.0344474484662591,0.8066061106523534,0.7124426398170444,9.519884634504074e-05,19.256687879562378
18,0.5971092581748962,1.0114137820819504,0.8143682906688687,0.7353878729222414,7.500000000000002e-05,19.250074863433838
19,0.588785707950592,0.9973428099141645,0.8196531791907514,0.741729530033665,5.6476529721189974e-05,19.230448484420776
20,0.5757461190223694,0.9774596490513481,0.823121387283237,0.7396582253601046,4.004221922552608e-05,19.23978042602539
21,0.5728939175605774,0.9546155419455984,0.834186622625929,0.737942669628186,2.6064183852600797e-05,19.240229606628418
22,0.5604128241539001,0.9429539219984626,0.8374896779521057,0.744968921602877,1.4854669814637143e-05,19.23608112335205
23,0.5558972358703613,0.9243028220019982,0.8421139554087531,0.7444310594915428,6.664079132078881e-06,19.238913774490356
24,0.5520205497741699,0.9316070598378642,0.838150289017341,0.7426928416187395,1.6753760662307215e-06,19.229190349578857
