epoch,train loss,val loss,val accuracy,val macro-F1,lr,seconds
1,4.8280229568481445,3.8144805059267606,0.022295623451692816,0.012904355170685224,3.3333333333333335e-05,19.5444917678833
2,4.507274150848389,3.5109457266419315,0.028075970272502065,0.018007400571299865,6.666666666666667e-05,19.595648050308228
3,4.192045211791992,3.5773465300669463,0.022625928984310487,0.03048298899323285,0.0001,19.603477716445923
4,3.9815421104431152,3.1154162638449256,0.20990916597853013,0.08085918379096524,0.0001,19.605876684188843
5,3.73280668258667,3.0082658118004644,0.1635012386457473,0.08928092099265367,9.981987442712633e-05,19.585155725479126
6,3.5697381496429443,2.8503041768251225,0.26655656482246076,0.1302456178522966,9.928079551738543e-05,19.57716965675354
7,3.377565860748291,2.9468268663011044,0.15474814203137902,0.07817144198910386,9.838664734667495e-05,19.54409694671631
8,3.186204195022583,2.748134540507461,0.1976878612716763,0.14465088548411087,9.714387227305422e-05,19.57857918739319
9,3.007356643676758,2.6629750914065724,0.23914120561519406,0.13734789389036337,9.55614245194068e-05,19.57981014251709
10,2.8513429164886475,2.3427269055172,0.3233691164327002,0.2203355410585252,9.365070565805941e-05,19.57028865814209
11,2.7086708545684814,2.2704886494344367,0.36168455821635015,0.22851683317718013,9.142548246219212e-05,19.59898042678833
12,2.600663661956787,2.162436681222955,0.37291494632535094,0.268398012317382,8.890178771592199e-05,19.57099962234497
13,2.549088478088379,2.161921389057654,0.37555739058629234,0.2631689961033323,8.609780469772623e-05,19.56903648376465
14,2.385589122772217,2.0181509417999295,0.4051197357555739,0.3183114853036832,8.303373616950408e-05,19.583222150802612
15,2.3434953689575195,2.1417941108801264,0.3978530140379851,0.27830590197512955,7.973165881521434e-05,19.60313582420349
16,2.229541540145874,1.9092689196793724,0.45284888521882743,0.315735053445817,7.621536417786159e-05,19.60027766227722
17,2.151926279067993,1.9163708493494969,0.3945499587118084,0.29983398675639666,7.251018724088367e-05,19.640146493911743
18,2.04595685005188,1.8424923109279794,0.4754748142031379,0.35507992595823423,6.864282388901544e-05,19.59190273284912
19,1.9910732507705688,2.0542959069536306,0.39488026424442607,0.33582151831647433,6.464113856382752e-05,19.593952178955078
20,1.912675142288208,1.8007432306039244,0.4485549132947977,0.3483362073004884,6.0533963499786314e-05,19.63124966621399
21,1.7891290187835693,1.7298635176840544,0.48125516102394716,0.383348907271052,5.6350890987343944e-05,19.628279209136963
22,1.8135401010513306,1.7224684408535946,0.44360033030553264,0.37760164665601476,5.212206015980742e-05,19.603354692459106
23,1.7464033365249634,1.685927384752168,0.4619322873658134,0.35510302564896434,4.78779398401926e-05,19.636425495147705
24,1.6765129566192627,1.6685105692739826,0.4769611890999174,0.3940962887048668,4.364910901265606e-05,19.622501373291016
25,1.575390100479126,1.5764990661677794,0.530635838150289,0.41784649451933126,3.94660365002137e-05,19.612879753112793
26,1.5312848091125488,1.5640686989618076,0.5334434351775392,0.4658253787172402,3.5358861436172485e-05,19.644064903259277
27,1.4834086894989014,1.5712897180231222,0.5502890173410404,0.43775024412551466,3.135717611098458e-05,19.635104656219482
28,1.4437425136566162,1.5060495537238905,0.5687861271676301,0.4432597835620388,2.748981275911633e-05,19.60076642036438
29,1.3828978538513184,1.4704084431012734,0.5661436829066887,0.47567593806702446,2.3784635822138424e-05,19.6027729511261
30,1.3487012386322021,1.4628842796795039,0.5791907514450867,0.4711546629551786,2.026834118478567e-05,19.590903759002686
31,1.3176932334899902,1.45621489742194,0.5791907514450867,0.48787820797917997,1.6966263830495936e-05,19.645607471466064
32,1.318847894668579,1.4380618378901462,0.5945499587118084,0.5023573749474106,1.3902195302273779e-05,19.618112564086914
33,1.2657818794250488,1.4111971065291287,0.6054500412881916,0.509986853450507,1.1098212284078036e-05,19.622973918914795
34,1.2504210472106934,1.406658268014229,0.60710156895128,0.5141185062291725,8.574517537807897e-06,19.621071577072144
35,1.247240662574768,1.38609720953824,0.6237819983484724,0.5188865583163438,6.349294341940593e-06,19.64972186088562
36,1.2218199968338013,1.3836891258973705,0.6257638315441784,0.5210290048786647,4.43857548059321e-06,19.6382098197937
37,1.2206088304519653,1.3857240679242413,0.6287365813377374,0.5242682407131716,2.85612772694579e-06,19.63133454322815
38,1.205877661705017,1.381186853766343,0.6275805119735756,0.5239728476500111,1.6133526533250565e-06,19.65404748916626
39,1.2058900594711304,1.3794019788479037,0.6272502064409579,0.5265078988879159,7.192044826145771e-07,19.650546312332153
40,1.1973645687103271,1.3804475849665068,0.6282411230388109,0.5213055730966515,1.8012557287367392e-07,19.625897884368896
