model,split,rows,selected,macro_f1,accuracy,weighted_f1,prediction_seconds,train_seconds,model_bytes,head (>=1000),body (100-999),tail (10-99),rare (<10),family,regime
hog_svm,reporting,7568,False,0.6345273267713217,0.7991543340380549,0.8018044950248167,5.906891345977783,289.2356708049774,1932894.0,0.810307686362937,0.7388498999814215,0.6089816000452921,0.4620181405895692,hog_svm,
hog_svm_offset,reporting,7568,False,0.6345273267713217,0.7991543340380549,0.8018044950248167,5.897766590118408,0.0,1932894.0,0.810307686362937,0.7388498999814215,0.6089816000452921,0.4620181405895692,hog_svm,
cnn_reweight,reporting,7568,False,0.5452958909783295,0.657637420718816,0.6814422013770669,0.8421494960784912,183.54358577728271,4848693.0,0.6728229174663425,0.6342329575666223,0.5108484956259799,0.4356928227685684,cnn,reweight
cnn_resample,reporting,7568,False,0.7447392456374435,0.8555761099365751,0.8590258724087454,0.4768941402435303,179.0639750957489,4848693.0,0.8708066639820653,0.8155306571298719,0.7612990004786769,0.5476190476190476,cnn,resample
resnet_reweight,reporting,7568,False,0.5524532878721486,0.6617336152219874,0.6875091265004963,4.245385408401489,889.2607088088989,45013451.0,0.6804336447362593,0.6487258036324139,0.5147330713942302,0.43863112196445525,resnet,reweight
resnet_resample,reporting,7568,True,0.7653827317142766,0.873546511627907,0.8741203643762618,3.149672269821167,909.8632965087891,45013451.0,0.8823178694634297,0.8385704742058198,0.7741819142514778,0.5857142857142856,resnet,resample
reference_majority,reporting,7568,False,0.0026950427175525655,0.17402219873150104,0.05158969853221989,,,,0.037056837366347774,0.0,0.0,0.0,,
reference_random,reporting,7568,False,0.009062866813314018,0.052854122621564484,0.05284489943241099,,,,0.0618897703053157,0.011838971997300161,0.0023148148148148147,0.0,,
