epoch,loss,lr,seconds
1,4.738938808441162,9.999999999999999e-05,4.770229339599609
2,4.422104358673096,0.00019999999999999998,4.637791395187378
3,4.1170268058776855,0.0003,4.725923538208008
4,3.840270757675171,0.0003,4.66853141784668
5,3.602158308029175,0.00029945962328137895,4.713540077209473
6,3.4259307384490967,0.00029784238655215626,4.690547466278076
7,3.1575927734375,0.00029515994204002484,4.67914080619812
8,3.007434844970703,0.0002914316168191626,4.754004955291748
9,2.91500186920166,0.00028668427355822034,4.659944295883179
10,2.753788471221924,0.0002809521169741782,4.689417123794556
11,2.595118522644043,0.0002742764473865763,4.672829866409302
12,2.4666709899902344,0.00026670536314776593,4.70215916633606
13,2.3631277084350586,0.0002582934140931787,4.682948350906372
14,2.27668833732605,0.00024910120850851216,4.7223219871521
15,2.149852752685547,0.00023919497644564298,4.715000867843628
16,2.0909228324890137,0.00022864609253358474,4.72759222984314
17,2.0170931816101074,0.00021753056172265096,4.674477815628052
18,1.961911916732788,0.0002059284716670463,4.705021858215332
19,1.8775994777679443,0.00019392341569148252,4.69898796081543
20,1.8121615648269653,0.00018160189049935897,4.7098095417022705
21,1.7430769205093384,0.0001690526729620318,4.688627243041992
22,1.6994339227676392,0.00015636618047942227,4.759234189987183
23,1.6063511371612549,0.00014363381952057778,4.72679328918457
24,1.5779638290405273,0.00013094732703796818,4.677286624908447
25,1.5388176441192627,0.00011839810950064104,4.754726409912109
26,1.5004570484161377,0.00010607658430851747,4.68595290184021
27,1.4560418128967285,9.407152833295372e-05,4.705053091049194
28,1.4258743524551392,8.246943827734897e-05,4.730500221252441
29,1.4158371686935425,7.135390746641526e-05,4.751204490661621
30,1.3823044300079346,6.080502355435701e-05,4.714142084121704
31,1.3549573421478271,5.089879149148781e-05,4.729383945465088
32,1.3481724262237549,4.1706585906821334e-05,4.7255613803863525
33,1.3282873630523682,3.329463685223405e-05,4.753696441650391
34,1.3047648668289185,2.5723552613423687e-05,4.684713363647461
35,1.2843526601791382,1.9047883025821807e-05,4.775564432144165
36,1.2847819328308105,1.3315726441779662e-05,4.688948631286621
37,1.2807589769363403,8.568383180837368e-06,4.762789487838745
38,1.2754820585250854,4.840057959975169e-06,4.69458532333374
39,1.2645217180252075,2.1576134478437313e-06,4.737283229827881
40,1.2660882472991943,5.403767186210218e-07,4.713487148284912
