epoch,loss,lr,seconds
1,4.8285088539123535,3.3333333333333335e-05,22.234797477722168
2,4.491894245147705,6.666666666666667e-05,22.229066610336304
3,4.215531349182129,0.0001,22.212209701538086
4,3.89018177986145,0.0001,22.173383474349976
5,3.6422922611236572,9.981987442712633e-05,22.1534903049469
6,3.5118701457977295,9.928079551738543e-05,22.158747911453247
7,3.254483461380005,9.838664734667495e-05,22.183024883270264
8,3.1283648014068604,9.714387227305422e-05,22.19841742515564
9,2.940622091293335,9.55614245194068e-05,22.16601014137268
10,2.769620180130005,9.365070565805941e-05,22.18576693534851
11,2.5766286849975586,9.142548246219212e-05,22.169852256774902
12,2.5185556411743164,8.890178771592199e-05,22.209407091140747
13,2.3876123428344727,8.609780469772623e-05,22.198212385177612
14,2.3061511516571045,8.303373616950408e-05,22.21093988418579
15,2.175534963607788,7.973165881521434e-05,22.221211910247803
16,2.1104722023010254,7.621536417786159e-05,22.256474018096924
17,1.989205002784729,7.251018724088367e-05,22.295564651489258
18,1.937113642692566,6.864282388901544e-05,22.247637271881104
19,1.8570826053619385,6.464113856382752e-05,22.24039363861084
20,1.8040302991867065,6.053396349978633e-05,22.184587478637695
21,1.6912338733673096,5.6350890987343944e-05,22.256064891815186
22,1.6665189266204834,5.212206015980743e-05,22.27352476119995
23,1.5888508558273315,4.78779398401926e-05,22.29380464553833
24,1.523418664932251,4.364910901265606e-05,22.27956509590149
25,1.4408763647079468,3.946603650021369e-05,22.256438493728638
26,1.4427324533462524,3.53588614361725e-05,22.28224277496338
27,1.3671437501907349,3.135717611098458e-05,22.25090193748474
28,1.3353402614593506,2.748981275911633e-05,22.237189292907715
29,1.3014391660690308,2.3784635822138424e-05,22.23359966278076
30,1.2568204402923584,2.026834118478567e-05,22.282543420791626
31,1.2255887985229492,1.6966263830495936e-05,22.276938676834106
32,1.2048382759094238,1.3902195302273779e-05,22.253987550735474
33,1.1748913526535034,1.109821228407802e-05,22.272759914398193
34,1.1746456623077393,8.574517537807897e-06,22.26207995414734
35,1.1440142393112183,6.349294341940604e-06,22.279964208602905
36,1.13981294631958,4.438575480593221e-06,22.26297926902771
