epoch,train loss,val loss,val accuracy,val macro-F1,lr,seconds
1,4.762393474578857,3.850770481512824,0.03501238645747316,0.011161921982670681,9.999999999999999e-05,3.9923794269561768
2,4.473827838897705,3.6898084229422836,0.0305532617671346,0.014859658834253657,0.00019999999999999998,3.9498090744018555
3,4.163466453552246,3.42383147357024,0.05400495458298926,0.02358908288888997,0.0003,4.005170583724976
4,3.96288800239563,3.135676946017882,0.2338563170933113,0.09239326638152698,0.0003,3.9883010387420654
5,3.695981502532959,3.0529993039925762,0.21635012386457472,0.09464642092999702,0.00029945962328137895,4.019737243652344
6,3.4967188835144043,2.826670469005279,0.31412056151940543,0.17186599435817043,0.00029784238655215626,3.9830007553100586
7,3.3419950008392334,2.9385385701520494,0.17803468208092485,0.09365457505013382,0.00029515994204002484,3.9540722370147705
8,3.1673483848571777,2.693560014924759,0.3260115606936416,0.16801880017651105,0.0002914316168191626,4.006477355957031
9,3.0383377075195312,2.574786673056794,0.31445086705202313,0.20985821692839465,0.00028668427355822034,3.977966547012329
10,2.880305767059326,2.3362564225122027,0.40412881915772086,0.27253531834285927,0.0002809521169741782,4.0169172286987305
11,2.7559990882873535,2.287189093510244,0.3976878612716763,0.26162911946462886,0.0002742764473865763,3.9965415000915527
12,2.6021485328674316,2.1456293953045846,0.44426094137076794,0.2999461249164518,0.00026670536314776593,4.0014941692352295
13,2.4858546257019043,2.0747926643522785,0.44508670520231214,0.29887209237159185,0.0002582934140931786,4.028022050857544
14,2.4071035385131836,2.039781796331744,0.45070189925681253,0.34737321280562217,0.00024910120850851216,3.978026866912842
15,2.2854769229888916,2.070316995341949,0.43220478943022295,0.31677462388711186,0.00023919497644564298,4.018644571304321
16,2.2083449363708496,1.9435885363231504,0.435177539223782,0.3544805161976741,0.00022864609253358474,4.026002883911133
17,2.1897382736206055,1.8936530790872361,0.47630057803468207,0.3518704198736013,0.00021753056172265096,3.96675181388855
18,2.0804052352905273,1.834521318682947,0.4916597853014038,0.3702064758630908,0.0002059284716670463,4.012765884399414
19,1.9639959335327148,1.8409150249203998,0.5243600330305532,0.3948007297357412,0.00019392341569148252,3.9726006984710693
20,1.9260821342468262,1.7557008586177936,0.5375722543352601,0.394402214193483,0.00018160189049935892,4.006026029586792
21,1.8416376113891602,1.7919166941764826,0.5317919075144508,0.38086970674257037,0.0001690526729620318,3.9772074222564697
22,1.8072247505187988,1.772685075613411,0.4772914946325351,0.39703636209697446,0.00015636618047942222,3.9931726455688477
23,1.7551923990249634,1.717135397015673,0.48769611890999176,0.40016380560932413,0.00014363381952057778,4.049569845199585
24,1.6933026313781738,1.6880228360362726,0.5274979355904211,0.43413954444170305,0.00013094732703796818,4.010804176330566
25,1.6413346529006958,1.6393318843290297,0.5679603633360859,0.45022874048050915,0.00011839810950064109,4.050105810165405
26,1.5825014114379883,1.5851327036551264,0.5653179190751445,0.46129406868945766,0.00010607658430851744,3.9643149375915527
27,1.5491998195648193,1.6004566682851777,0.5331131296449215,0.44843801039943704,9.407152833295372e-05,3.96089506149292
28,1.5041260719299316,1.541013692372304,0.6216350123864575,0.4754331849889647,8.246943827734897e-05,4.018256425857544
29,1.4826017618179321,1.5466269458452597,0.5674649050371594,0.47039210526042,7.135390746641526e-05,3.9594411849975586
30,1.4529633522033691,1.530940928211102,0.6150289017341041,0.4954091381263154,6.080502355435701e-05,3.994548797607422
31,1.4408711194992065,1.5207412067274728,0.5953757225433526,0.5019749445146429,5.089879149148781e-05,3.998901844024658
32,1.4173388481140137,1.5074033676938121,0.6122213047068539,0.5077826780726578,4.1706585906821334e-05,3.9782278537750244
33,1.4003082513809204,1.4878865729472934,0.6257638315441784,0.5165442407011605,3.3294636852234105e-05,4.01242208480835
34,1.3652716875076294,1.4756288205169628,0.6264244426094137,0.5155450999433923,2.5723552613423687e-05,3.9825539588928223
35,1.3549952507019043,1.4680169062216748,0.634186622625929,0.515963654841679,1.9047883025821774e-05,3.995579242706299
36,1.3474063873291016,1.4640488083947305,0.6440957886044592,0.5289076802310121,1.3315726441779629e-05,4.010715007781982
37,1.3430190086364746,1.4707866179263858,0.642279108175062,0.5296571696506133,8.568383180837368e-06,3.938258409500122
38,1.330927848815918,1.4629434866712272,0.6465730800990916,0.5305971081435602,4.840057959975169e-06,3.9920918941497803
39,1.3296183347702026,1.4638883089054526,0.6416184971098265,0.5325971865620045,2.1576134478437313e-06,3.9823946952819824
40,1.3179919719696045,1.4664401385923933,0.6427745664739885,0.5314003477247561,5.403767186210218e-07,4.003790616989136
