epoch,loss,lr,seconds
1,3.4889018535614014,0.0003333333333333333,4.714994430541992
2,2.016676664352417,0.0006666666666666666,4.763802528381348
3,1.47737455368042,0.001,4.7571539878845215
4,1.2115801572799683,0.001,4.740278959274292
5,1.0816361904144287,0.0009981987442712632,4.698754072189331
6,1.0068979263305664,0.0009928079551738544,4.721616744995117
7,0.9438075423240662,0.0009838664734667494,4.686575889587402
8,0.9086726307868958,0.0009714387227305421,4.720291376113892
9,0.8678156733512878,0.0009556142451940679,4.705243349075317
10,0.8390504121780396,0.0009365070565805941,4.753078937530518
11,0.8143748641014099,0.0009142548246219211,4.724010705947876
12,0.7972820997238159,0.0008890178771592198,4.759469032287598
13,0.7813988924026489,0.0008609780469772623,4.710642099380493
14,0.7661677002906799,0.0008303373616950407,4.733289957046509
15,0.7453478574752808,0.0007973165881521434,4.657455682754517
16,0.7341641187667847,0.0007621536417786159,4.723799467086792
17,0.715906023979187,0.0007251018724088366,4.6810994148254395
18,0.7071244120597839,0.0006864282388901544,4.629357814788818
19,0.6924879550933838,0.0006464113856382752,4.6936235427856445
20,0.6858085989952087,0.0006053396349978633,4.629607439041138
21,0.672446608543396,0.0005635089098734394,4.671797275543213
22,0.6595795750617981,0.0005212206015980743,4.626345872879028
23,0.6526304483413696,0.00047877939840192596,4.708782196044922
24,0.6461977958679199,0.0004364910901265606,4.6541748046875
25,0.6386071443557739,0.0003946603650021369,4.692795991897583
26,0.6296396851539612,0.00035358861436172496,4.627650260925293
27,0.6271621584892273,0.00031357176110984573,4.672283887863159
28,0.6166343092918396,0.00027489812759116326,4.6688573360443115
29,0.6111376881599426,0.00023784635822138422,4.688392162322998
30,0.6055290699005127,0.0002026834118478567,4.647178649902344
31,0.6033331751823425,0.00016966263830495937,4.662822484970093
32,0.6000444889068604,0.0001390219530227378,4.678457498550415
33,0.5931670069694519,0.00011098212284078018,4.663968801498413
34,0.5877290964126587,8.574517537807896e-05,4.711755752563477
35,0.5878714919090271,6.349294341940604e-05,4.714252948760986
36,0.5842688679695129,4.438575480593221e-05,4.758734226226807
