model,split,rows,selected,macro_f1,accuracy,weighted_f1,prediction_seconds,train_seconds,model_bytes,head (>=1000),body (100-999),tail (10-99),rare (<10),protocol,backbone,pretrained,submittable,is_fallback,params,feature_dim
siglip2_probe,reporting,7568,False,0.8219109724945514,0.8978594080338267,0.9010466370623685,,62.3566370010376,0,0.9063961842788607,0.8630085241154248,0.848883809813071,0.6634920634920635,linear probe,google/siglip2-base-patch16-224,True,False,False,92884224,768.0
convnext_probe,reporting,7568,False,0.800015831271492,0.8857029598308668,0.8879215894632158,,45.85253071784973,0,0.8918986568044138,0.8422758746675515,0.8084329511402698,0.6793650793650793,linear probe,facebook/convnext-base-224-22k,True,False,False,87566464,1024.0
siglip2_finetune,reporting,7568,False,0.8165547697224307,0.889931289640592,0.892908288328828,26.231663942337036,1512.157749414444,0,0.8956635796259511,0.8601195180780302,0.817368264537282,0.7160997732426303,fine-tuned,google/siglip2-base-patch16-224,True,False,False,92884224,
convnext_finetune,reporting,7568,False,0.7927461184708542,0.8800211416490487,0.884462122202519,38.028289794921875,1888.324575662613,0,0.8867368265191762,0.8393277569072519,0.8244222334084581,0.6113378684807257,fine-tuned,facebook/convnext-base-224-22k,True,False,False,87566464,
