Model,Top-1 accuracy,Macro-F1,Balanced accuracy,Weighted F1,Top-5 accuracy,F1 head (>=1000),F1 body (100-999),F1 tail (10-99),F1 rare (<10)
Baseline: majority class,0.17402219873150104,0.0026950427175525655,0.00909090909090909,0.05158969853221989,0.2556818181818182,0.037056837366347774,0.0,0.0,0.0
Baseline: stratified random,0.05615750528541226,0.008708631465154609,0.008765363464790997,0.05709077795873707,0.43089323467230445,0.06873412233434205,0.009792247970464307,0.0012077294685990338,0.0
3a. ResNet (plain CE),0.8942917547568711,0.7704738491747823,0.7549652542280293,0.8909374820400298,0.9890327695560254,0.8939628334418286,0.8556064929689058,0.7782301520611046,0.55
3. ResNet + decoupled classifier,0.8883456659619451,0.7818829243595723,0.7836514509679414,0.8886745285476803,0.9817653276955602,0.89336777890178,0.8323545778527958,0.7767119125863351,0.6583333333333333
