Model,Learning rate,Weight decay,Top-1 accuracy,Macro-F1,Balanced accuracy,Weighted F1,Top-5 accuracy,F1 head (>=1000),F1 body (100-999),F1 tail (10-99),F1 rare (<10)
ResNet lr=3e-04 wd=1e-04,0.0003,0.0001,0.8595401691331924,0.5728679796143245,0.5702921421549275,0.8488100415250309,0.989693446088795,0.8689720142513766,0.7901944541051112,0.5483462081547781,0.1746031746031746
ResNet lr=1e-03 wd=1e-04,0.001,0.0001,0.86892177589852,0.6280446945828314,0.6224597725002422,0.8593874512515384,0.9899577167019028,0.8836380674261695,0.7992793170650863,0.6036026611434914,0.31746031746031744
ResNet lr=3e-03 wd=1e-04,0.003,0.0001,0.8628435517970402,0.6316061498998174,0.622248421516717,0.8539450716489708,0.991146934460888,0.8731144725139209,0.7939415891951468,0.631076838863098,0.2857142857142857
ResNet lr=3e-04 wd=1e-03,0.0003,0.001,0.8640327695560254,0.5957729022811697,0.5872535628284697,0.8535963527122918,0.989693446088795,0.8756166419825392,0.7951719548852901,0.5796405195247315,0.2126984126984127
ResNet lr=1e-03 wd=1e-03,0.001,0.001,0.86892177589852,0.6244216238745307,0.6200607739055727,0.8588296187108353,0.9906183932346723,0.8850485561011145,0.7949225971168519,0.5841710654,0.3492063492063492
ResNet lr=3e-03 wd=1e-03,0.003,0.001,0.8679968287526427,0.6679680665648076,0.6558561668351705,0.8600387745606891,0.9900898520084567,0.8830146624610002,0.7988198302222778,0.6330135199674786,0.4603174603174603
