Model,C,class_weight,Top-1 accuracy,Macro-F1,Balanced accuracy,Weighted F1,Top-5 accuracy,F1 head (>=1000),F1 body (100-999),F1 tail (10-99),F1 rare (<10)
HOG C=0.01 weight=balanced,0.01,balanced,0.784223044397463,0.6004599428105137,0.6827201923417429,0.7874679650599841,0.9520348837209303,0.7981097942486126,0.7240594287743324,0.5446827099714692,0.4584278155706727
HOG C=0.1 weight=balanced,0.1,balanced,0.8056289640591966,0.6342953768704287,0.6670930710489491,0.8080844896069114,0.9536205073995772,0.8194769928084045,0.7374613828851067,0.6336204835709321,0.4031746031746032
HOG C=1.0 weight=balanced,1.0,balanced,0.7983615221987315,0.6173197409297643,0.6379723258889772,0.8001975617150674,0.9332716701902748,0.8112642083112658,0.7297662396365753,0.6131827484953535,0.3761904761904762
HOG C=0.01 weight=none,0.01,None,0.8119714587737844,0.5540344270972691,0.5379052458655574,0.7909484652972405,0.9669661733615222,0.8248076665440538,0.6843163758080623,0.5020045537503011,0.36507936507936506
HOG C=0.1 weight=none,0.1,None,0.8247885835095138,0.6253331367109461,0.6066077779159692,0.8149014222242511,0.9639270613107822,0.8319781642347268,0.7406966907447605,0.5976631027031077,0.42857142857142855
HOG C=1.0 weight=none,1.0,None,0.8113107822410148,0.623688500412399,0.6195889189765262,0.8060728712242402,0.9441067653276956,0.8205737023639135,0.7334343723934814,0.6216210653639102,0.38095238095238093
