Model,Learning rate,Weight decay,Top-1 accuracy,Macro-F1,Balanced accuracy,Weighted F1,Top-5 accuracy,F1 head (>=1000),F1 body (100-999),F1 tail (10-99),F1 rare (<10)
CNN lr=3e-04 wd=1e-04,0.0003,0.0001,0.8243921775898521,0.40873214729152,0.40534940793619567,0.803373422289817,0.9793868921775899,0.8432870256104466,0.7138574261823674,0.305353019440948,0.0
CNN lr=1e-03 wd=1e-04,0.001,0.0001,0.8494978858350951,0.502624134538735,0.5000485712798054,0.8345072097152504,0.9874471458773785,0.8634952215023917,0.7615735213191529,0.47046041993839616,0.031746031746031744
CNN lr=3e-03 wd=1e-04,0.003,0.0001,0.8662790697674418,0.578198657426269,0.5727658139307509,0.8552122462187389,0.9894291754756871,0.8771537105604528,0.7926465397592012,0.5818184754240069,0.11904761904761904
CNN lr=3e-04 wd=1e-03,0.0003,0.001,0.8282241014799154,0.4157118626909464,0.41096849753024495,0.8073775022906374,0.9785940803382663,0.8478565562619557,0.7139964704161834,0.320491019211967,0.0
CNN lr=1e-03 wd=1e-03,0.001,0.001,0.8535940803382663,0.5129727812507748,0.5113791094807904,0.838718293753597,0.9867864693446089,0.8678614742045185,0.7663366271050084,0.4832292801975795,0.047619047619047616
CNN lr=3e-03 wd=1e-03,0.003,0.001,0.8604651162790697,0.5824007741738144,0.5801920853773105,0.8485783820911431,0.9889006342494715,0.8719479940357389,0.78082088661087,0.5553071933751729,0.22222222222222218
