timestamp_utc,elapsed_seconds,phase,gpu_index,gpu_uuid,utilization_pct,power_w,memory_used_mib,memory_total_mib,temperature_c
2026-09-10T08:15:28Z,32.90465611600001,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.04,203.0,15360.0,45.0
2026-09-10T08:15:28Z,32.904711898000016,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,27.93,205.0,15360.0,49.0
2026-09-10T08:15:30Z,34.95275822900004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.04,203.0,15360.0,46.0
2026-09-10T08:15:30Z,34.95281132000002,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.03,205.0,15360.0,49.0
2026-09-10T08:15:32Z,37.00108004500004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,26.94,203.0,15360.0,46.0
2026-09-10T08:15:32Z,37.001114898000026,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.03,205.0,15360.0,49.0
2026-09-10T08:15:34Z,39.051602754000044,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.04,203.0,15360.0,46.0
2026-09-10T08:15:34Z,39.051641926,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.03,205.0,15360.0,50.0
2026-09-10T08:15:36Z,41.09883252700001,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.04,203.0,15360.0,46.0
2026-09-10T08:15:36Z,41.09888938100005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.13,205.0,15360.0,50.0
2026-09-10T08:15:38Z,43.14813791100005,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.14,203.0,15360.0,46.0
2026-09-10T08:15:38Z,43.14817134600003,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.13,205.0,15360.0,50.0
2026-09-10T08:15:40Z,45.195355370000016,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.14,203.0,15360.0,47.0
2026-09-10T08:15:40Z,45.19538904000001,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.13,205.0,15360.0,50.0
2026-09-10T08:15:42Z,47.24380658200005,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,47.0
2026-09-10T08:15:42Z,47.24384155000001,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.32,205.0,15360.0,50.0
2026-09-10T08:15:44Z,49.29347255600004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,47.0
2026-09-10T08:15:44Z,49.29351356000001,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.32,205.0,15360.0,51.0
2026-09-10T08:15:46Z,51.34183374400004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.34,203.0,15360.0,47.0
2026-09-10T08:15:46Z,51.34188598600002,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.32,205.0,15360.0,51.0
2026-09-10T08:15:48Z,53.389047824000045,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.14,203.0,15360.0,47.0
2026-09-10T08:15:48Z,53.38908341700005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.32,205.0,15360.0,51.0
2026-09-10T08:15:51Z,55.43580734100004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.12,203.0,15360.0,48.0
2026-09-10T08:15:51Z,55.435841643,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.32,205.0,15360.0,51.0
2026-09-10T08:15:53Z,57.48297304600004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.22,203.0,15360.0,48.0
2026-09-10T08:15:53Z,57.48300766800003,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.32,205.0,15360.0,51.0
2026-09-10T08:15:55Z,59.53070462200003,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.14,203.0,15360.0,48.0
2026-09-10T08:15:55Z,59.53073797800005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.42,205.0,15360.0,52.0
2026-09-10T08:15:57Z,61.58100266400004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.52,203.0,15360.0,48.0
2026-09-10T08:15:57Z,61.581059683000035,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.41,205.0,15360.0,52.0
2026-09-10T08:15:59Z,63.62918708800004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,48.0
2026-09-10T08:15:59Z,63.629241749000016,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.42,205.0,15360.0,52.0
2026-09-10T08:16:01Z,65.68175657700004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,48.0
2026-09-10T08:16:01Z,65.68178979700002,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.82,205.0,15360.0,52.0
2026-09-10T08:16:03Z,67.72925176500001,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,49.0
2026-09-10T08:16:03Z,67.72928586700004,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.42,205.0,15360.0,52.0
2026-09-10T08:16:05Z,69.77615566500003,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,49.0
2026-09-10T08:16:05Z,69.77618963700002,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.42,205.0,15360.0,52.0
2026-09-10T08:16:07Z,71.82312388100001,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,49.0
2026-09-10T08:16:07Z,71.82315815600003,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.52,205.0,15360.0,52.0
2026-09-10T08:16:09Z,73.87164131100002,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.24,203.0,15360.0,49.0
2026-09-10T08:16:09Z,73.87167437500005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.52,205.0,15360.0,53.0
2026-09-10T08:16:11Z,75.91905389600004,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.34,203.0,15360.0,49.0
2026-09-10T08:16:11Z,75.91908773800003,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.62,205.0,15360.0,53.0
2026-09-10T08:16:13Z,77.96700360800003,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.34,203.0,15360.0,49.0
2026-09-10T08:16:13Z,77.96704523600005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.62,205.0,15360.0,53.0
2026-09-10T08:16:15Z,80.014419347,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.34,203.0,15360.0,49.0
2026-09-10T08:16:15Z,80.01445384300001,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.72,205.0,15360.0,53.0
2026-09-10T08:16:17Z,82.061368544,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.34,203.0,15360.0,50.0
2026-09-10T08:16:17Z,82.06140061900004,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.52,205.0,15360.0,53.0
2026-09-10T08:16:19Z,84.10972956100005,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.43,203.0,15360.0,50.0
2026-09-10T08:16:19Z,84.10976304300004,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.62,205.0,15360.0,53.0
2026-09-10T08:16:21Z,86.15705379400003,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.42,203.0,15360.0,50.0
2026-09-10T08:16:21Z,86.15708666600005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.62,205.0,15360.0,53.0
2026-09-10T08:16:23Z,88.20362319300006,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.43,203.0,15360.0,50.0
2026-09-10T08:16:23Z,88.20365675800002,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.72,205.0,15360.0,54.0
2026-09-10T08:16:25Z,90.250645872,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.43,203.0,15360.0,50.0
2026-09-10T08:16:25Z,90.25067980100005,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.72,205.0,15360.0,54.0
2026-09-10T08:16:27Z,92.29815467700001,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.53,203.0,15360.0,50.0
2026-09-10T08:16:27Z,92.29819481700002,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.72,205.0,15360.0,54.0
2026-09-10T08:16:29Z,94.34619237700002,cpu:build_image_cache,0,GPU-5ca1e208-5748-3100-bd46-5f10cc662bd5,0.0,27.53,203.0,15360.0,50.0
2026-09-10T08:16:29Z,94.34622779200004,cpu:build_image_cache,1,GPU-f6cf7e79-58b3-b073-d5cd-5e82850ce4d2,0.0,28.72,205.0,15360.0,54.0
