path,matches_test,matches_train
D:\g2\Dataset\ExternalCosmetics2\images\910000.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910001.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910002.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910003.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910004.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910005.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910006.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910007.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910008.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910009.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910010.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910011.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910012.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910013.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910014.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910015.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910016.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910017.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910018.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910019.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910020.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910021.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910022.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910023.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910024.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910025.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910026.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910027.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910028.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910029.jpg,False,False
D:\g2\Dataset\ExternalCosmetics2\images\910030.jpg,False,False
