epoch,loss,val_gender,run,val_usage
1,0.6543594918417791,0.33089114103112516,A gender,
2,0.49678679316095276,0.24083264758792805,A gender,
3,0.4456745066513163,0.47082058238928565,A gender,
4,0.4147996280967944,0.49783013388963965,A gender,
5,0.39075777793655875,0.522445054566933,A gender,
6,0.3730499501939338,0.655056392400773,A gender,
7,0.35581363245460285,0.6832672103295632,A gender,
8,0.3417160516367219,0.6763108366897237,A gender,
9,0.3298693171553356,0.6002512320352171,A gender,
10,0.31389675233194975,0.5104893118403858,A gender,
11,0.2949133254174297,0.6753423383315276,A gender,
12,0.28244452701440076,0.69220905717335,A gender,
13,0.27314789700413,0.7172916349292549,A gender,
14,0.2559120648186071,0.6289724827380736,A gender,
15,0.2430802106470884,0.7376854982137698,A gender,
16,0.23265160165616602,0.7127598005284631,A gender,
17,0.2196705255584517,0.7283672412841676,A gender,
18,0.20872649231273296,0.7285963437888897,A gender,
19,0.2047702277940997,0.7373541708611622,A gender,
20,0.20142065819407204,0.7439696289716128,A gender,
1,0.6795092886068803,,A usage,0.2674808648836027
2,0.45276955862827634,,A usage,0.26586435656907126
3,0.4053539558845689,,A usage,0.24679386937837478
4,0.3760330212181635,,A usage,0.27987607640258205
5,0.36152291750465004,,A usage,0.2840363752364109
6,0.3402753339423427,,A usage,0.31838382082835615
7,0.32893047076317306,,A usage,0.3397089117908151
8,0.3173397563146157,,A usage,0.3597005066699468
9,0.3042669242612294,,A usage,0.39090624113095057
10,0.28871085599813506,,A usage,0.38255265279717887
11,0.2769233040263596,,A usage,0.37190512426090877
12,0.2650261979167887,,A usage,0.37322296844262953
13,0.25260539566722984,,A usage,0.37954077446259793
14,0.2400979226388445,,A usage,0.39046332774272385
15,0.22658495656637878,,A usage,0.38067442657651374
16,0.2168044743897121,,A usage,0.4041303928034339
17,0.2053705191574345,,A usage,0.40443944104865426
18,0.19526353243795538,,A usage,0.4010412766253847
19,0.19175981838066164,,A usage,0.402500284413719
20,0.18646973533131597,,A usage,0.4030385155446653
1,1.3784513359518067,0.36089246110660667,B pair,0.2948153743351166
2,0.9619095270480023,0.4650423723035127,B pair,0.31119803710239813
3,0.8582324516058355,0.6106964424385775,B pair,0.32655055712696135
4,0.7925197224250801,0.5474137234734574,B pair,0.34366347368806394
5,0.7541729896803655,0.6228280044023498,B pair,0.33287880625796107
6,0.7189842299278977,0.3903346485536038,B pair,0.15700824911320524
7,0.6876396204137903,0.48444291766122916,B pair,0.3373810154789622
8,0.6652187972855886,0.633644478119798,B pair,0.3758164807586058
9,0.6388505753429286,0.5545469357872236,B pair,0.3328157065218498
10,0.6129960686900999,0.6558028551198087,B pair,0.37319977253674114
11,0.5875074566339499,0.6873340639620656,B pair,0.3847239056232858
12,0.5612189222520582,0.66307665108023,B pair,0.37253927780211205
13,0.5394283272042683,0.6806874132547418,B pair,0.38402027308203746
14,0.5207328421972054,0.6423573822780824,B pair,0.3904008845880844
15,0.5026805601970408,0.6585905623020293,B pair,0.39442088188446117
16,0.4822752765104548,0.6983120019142193,B pair,0.3992004170569919
17,0.4645822602025203,0.6935508019868021,B pair,0.4047521237468086
18,0.4504651821413148,0.7201063562397809,B pair,0.40671829467260445
19,0.44687163898169346,0.7156741951602346,B pair,0.4042141847874293
20,0.43994367378650645,0.7186889269949328,B pair,0.4070727198470486
1,1.3223669329511154,0.37113451428825384,C multi,0.2863176217624517
2,0.9572732833433205,0.24008866539920692,C multi,0.21769855280528091
3,0.8643622003637812,0.3923086896540442,C multi,0.3229755821619614
4,0.8078339539952237,0.5244481710590267,C multi,0.36350777289619696
5,0.7724530140875938,0.6078856264074558,C multi,0.3666293055858759
6,0.7312612232387906,0.5680887565551365,C multi,0.2006329183940599
7,0.7003005610827926,0.5883883993509987,C multi,0.2774513722352292
8,0.6714095366653577,0.6752538976116378,C multi,0.37729307369740184
9,0.647596349949225,0.62088249439124,C multi,0.35752282440258687
10,0.6231011367025495,0.6048554900768149,C multi,0.36133323589219524
11,0.5951670932585484,0.6045257523754762,C multi,0.3518911198486354
12,0.5786281921310387,0.66101766600773,C multi,0.37514362550217095
13,0.5548742467247478,0.675918380661819,C multi,0.3927518714422774
14,0.5298569874340809,0.6821012407313976,C multi,0.3955790742727792
15,0.5085977853169362,0.6937977548044839,C multi,0.37470112619206014
16,0.4919932900841226,0.6962367314024005,C multi,0.40146230758574825
17,0.4685029537916154,0.7279585223847512,C multi,0.40564151317324126
18,0.4534285117854294,0.7228806145341072,C multi,0.4030732032933023
19,0.4481762104565894,0.7199373516061364,C multi,0.40388964966890667
20,0.4431639034846762,0.7240179135516591,C multi,0.40455421884599263
1,2.047226232255342,0.3892725354685008,C weighted,0.29921433105841794
2,1.589055811076253,0.5149232150444939,C weighted,0.29325544763511247
3,1.444114662393818,0.42584125317029964,C weighted,0.26827558064031065
4,1.3231031284741281,0.6107102119462953,C weighted,0.35342748424153075
5,1.2570034941597303,0.6104601462144179,C weighted,0.3518184946613346
6,1.1968481685734496,0.6055080844677152,C weighted,0.37210882627968617
7,1.140483917760189,0.5409460139275236,C weighted,0.32929220111622914
8,1.0966629395682888,0.6554880020842668,C weighted,0.3977860390297887
9,1.0521223262990893,0.64259944462575,C weighted,0.3603406910769484
10,0.9974557694139184,0.6841669825233939,C weighted,0.4000449058481196
11,0.9551003992505508,0.6416093175870833,C weighted,0.4070859009054381
12,0.919625902782279,0.5834054397947239,C weighted,0.3905586830383804
13,0.8796718158919293,0.6862061855554089,C weighted,0.41180590269123796
14,0.8385425103511793,0.6723106746826207,C weighted,0.40804234465095507
15,0.8065457303035647,0.7166399426289984,C weighted,0.4334123483924003
16,0.7699659981865521,0.6749274577216255,C weighted,0.43892984309114835
17,0.7432862567553837,0.7035803168143656,C weighted,0.4440529588610025
18,0.7204169126360096,0.7129981226868138,C weighted,0.44344428086967713
19,0.7131223102829252,0.7322841803458963,C weighted,0.43339334075515146
