epoch,loss,val_gender,run,val_usage
1,0.6584398660822126,0.24667307783349726,A gender,
2,0.49704237753452096,0.43622829455954265,A gender,
3,0.44192016465030043,0.2472277847924996,A gender,
4,0.40852777304783894,0.5388414662519067,A gender,
5,0.3940693557278212,0.3738969077056992,A gender,
6,0.36873596824151916,0.5477896782673657,A gender,
7,0.35602921763466344,0.6162003075173248,A gender,
8,0.342133736113773,0.5472740972777627,A gender,
9,0.3237648286603432,0.6173513110515724,A gender,
10,0.31222753166947115,0.6143223402784688,A gender,
11,0.29908297603249406,0.6025485591983472,A gender,
12,0.283143809262862,0.6657557893181196,A gender,
13,0.27348722437151635,0.6390784246312544,A gender,
14,0.25850506935597795,0.5980534516060292,A gender,
15,0.24123667219621897,0.6814065555974002,A gender,
16,0.2308454330922247,0.664966475027879,A gender,
17,0.21820416252634228,0.6844606644175225,A gender,
18,0.20989305534999503,0.6923359668831023,A gender,
19,0.2043426036380714,0.6914920755057035,A gender,
20,0.20112809671291626,0.6952858270275402,A gender,
1,0.6894427949205142,,A usage,0.19700379371839133
2,0.4589110857754421,,A usage,0.35539412353401734
3,0.41617152942839264,,A usage,0.22744700265577888
4,0.3894709411409931,,A usage,0.3259234103307063
5,0.36578712823896603,,A usage,0.2797374502954274
6,0.35078195503712145,,A usage,0.3416776121947811
7,0.33626239610706865,,A usage,0.3422988261123477
8,0.3230504872451825,,A usage,0.29585935189838974
9,0.31284236279066424,,A usage,0.3891676145429695
10,0.29458397219458676,,A usage,0.3896582774285524
11,0.2865880601673604,,A usage,0.39720976358342713
12,0.27444663729900115,,A usage,0.3418279002369625
13,0.25858268680628094,,A usage,0.39978057811353995
14,0.2463331410057072,,A usage,0.3633306315115954
15,0.23322458709134283,,A usage,0.40818239137175094
16,0.22380268212532678,,A usage,0.40185883433315395
17,0.21502665988039948,,A usage,0.3952324651231521
18,0.20502701129901013,,A usage,0.41264344983151774
19,0.20020339714484367,,A usage,0.41003691409413967
20,0.19591808982725442,,A usage,0.4117389897881315
1,1.4077579976707313,0.4090062418067836,B pair,0.28905336625221734
2,0.9864346894274832,0.3875781091479678,B pair,0.3039504086895573
3,0.8689927926741304,0.5414049340078456,B pair,0.3165208777742789
4,0.8021362851922725,0.5301713494101034,B pair,0.27314382148454586
5,0.7527692811049157,0.3567509126883231,B pair,0.3014056462983167
6,0.7134774873423756,0.25251919548408813,B pair,0.25830232869759734
7,0.6945524976054223,0.5755018495644825,B pair,0.3697288131763186
8,0.6558302842965898,0.45021046904730994,B pair,0.33105304143621495
9,0.6310163537924425,0.6039215512286514,B pair,0.33277368599503526
10,0.6088738157143102,0.6306183514043956,B pair,0.38239490574141205
11,0.5818371228120677,0.609772118102768,B pair,0.392255106246128
12,0.5618448089188907,0.6077992873991183,B pair,0.31903668204745167
13,0.5405862138419455,0.6408432902820851,B pair,0.40208550237936347
14,0.5152094969687548,0.6475590959206132,B pair,0.3991898712596699
15,0.4952880991130558,0.6395659064803372,B pair,0.40607628853726635
16,0.4751393356920473,0.6599351033470896,B pair,0.4072157753615522
17,0.45790786722793153,0.6646346372719194,B pair,0.404334602871019
18,0.44769745946309475,0.6769208847336907,B pair,0.4132843468194215
19,0.44008332802406414,0.6700507002956283,B pair,0.4089951948663154
20,0.4363028558496924,0.6736377207344797,B pair,0.4127411412611157
1,1.3347963654516486,0.3603883896305365,C multi,0.3138461369322846
2,0.9789587959009601,0.3161104712644784,C multi,0.2925671257156991
3,0.8770304709605814,0.5279954102335354,C multi,0.3275350498240929
4,0.8098788403536187,0.5280262598330607,C multi,0.19311853025080308
