feature_index,importance_mean,importance_std
1916,0.0012938778439450932,0.0005278380636358928
1708,0.0010364140894103119,0.00013228346749741949
2006,0.001031476063527409,0.0003697167489170696
1889,0.0010144068776168497,0.0006132539213705129
170,0.0008227509609123607,0.0005806895277336552
143,0.0008178100903065977,0.0004610222873150127
946,0.0007874479336184292,0.0002896596709923458
2000,0.0006982431944996675,7.674872426117583e-05
1952,0.0006492278602062279,0.00044471709441449783
828,0.0005792028892064316,0.0004559193118347209
402,0.0005728765626461102,0.00016383820066447622
606,0.0005484243281523582,0.00061774006224657
1143,0.0005470500650673477,0.00024805988760254026
957,0.0005403716030288747,0.00029820853825523937
1660,0.0005124594987657438,0.00026936423213177736
1876,0.0005035788274208169,0.0004629684737621198
1771,0.0005004682492461832,9.801722770053037e-05
226,0.0004819460329001518,9.64242303111996e-05
1924,0.00047965761503289406,0.00026448978513501193
1457,0.0004725937180905665,0.0003856178837545532
260,0.00046793187349916665,0.00020335405909402461
1986,0.0004666759246532981,0.0003970127355098398
1499,0.0004664036730205323,0.0003446339265605875
924,0.00045947674013013806,0.00012905463760066896
731,0.00045797158240838687,0.00014971393828724127
926,0.00045716482770852274,0.00019920480901120533
261,0.00044797307374179474,0.00013430179326022815
491,0.0004354122095481111,0.00017385823047896525
1196,0.0004354120769999442,0.00016722178949624223
1744,0.000424763076705692,0.0001534993852751644
1903,0.00041995026007501934,0.00024781270513057413
869,0.0004184100343515712,0.0001991281968486766
1933,0.0004168689372629347,0.00039367293427431044
1280,0.00041600450810136413,0.00017441847455002208
1925,0.00041415481975010104,0.0007576949091412128
1972,0.00040948997008785626,0.0003457285922375654
1918,0.00040898672311261153,0.00029005983289555337
1500,0.00040595899162168547,0.0002939834181321927
1532,0.00039976797688424937,0.00037275031399264464
1671,0.00039492540192058445,0.00035211325932610587
563,0.00039366795051686,0.0002600052152072765
820,0.0003914174510513957,0.0003012663579265153
142,0.00038508580430667017,0.0007918524460969024
342,0.0003835794529830072,0.00010679402760101221
1206,0.000377782527452436,0.0002658712587824157
591,0.000373887528877917,0.0003900480823101856
1858,0.0003703140737065652,0.0004871076350631643
1674,0.00036886439194444565,0.00014005762542668943
151,0.0003656750502023798,0.000213517932185209
215,0.0003619745139211983,0.00016329568732782352
1881,0.00036107795399480114,0.0005524644508059776
536,0.0003605505122599578,0.00010584018983052938
1990,0.0003574448038986128,0.0003967163208820673
1110,0.0003568112329242479,0.0002685096836677626
1230,0.00035513465484517115,0.00024479083493396105
637,0.0003528732700400078,0.0003049617481706324
780,0.00035211744187610416,0.00020526696743376885
1666,0.0003509947181825762,0.0002869964912292801
319,0.0003472438396972394,0.00024380746334671656
1777,0.0003469438993961571,0.0003501295021687237
323,0.00034542150428795715,0.0001693360256193569
199,0.0003443084175134836,0.00012612962342019933
1906,0.00034173838090041653,0.0002769919289706954
1152,0.00033733933493118595,0.00022422530138546518
618,0.00033709665375299125,0.00031401345250896116
690,0.00033463434064823216,0.00017401562868034253
1879,0.0003326540450995369,0.0003295061546887183
40,0.00033087878047344255,0.00022539026791150253
19,0.00032979289173697135,0.00036809616050511516
694,0.0003287305073842728,0.0003908655347492434
1309,0.0003277440419722083,0.00030868321764894913
1701,0.0003260664649558098,0.00016881727495793953
1473,0.00032588832252647415,0.00040940259563476564
103,0.00032514479160228316,0.0005377620559156958
1071,0.0003243306328323259,0.00017659957892407257
671,0.00032411689962077994,0.00019579215060730524
326,0.00032231004409793984,0.00020647982680401512
392,0.0003203359787468524,0.0002693078586598791
462,0.00031955062464544826,0.00017623606298885927
1540,0.0003189386302918096,0.0005894871302894021
