source,run,arm,target,class,metric,value
model_comparison,1-NN pixels shared val,1-NN pixels,gender,,macro_f1,0.5335
model_comparison,1-NN pixels shared val,1-NN pixels,gender,,macro_f1_in_val,0.5335
model_comparison,1-NN pixels shared val,1-NN pixels,gender,,n_classes,5
model_comparison,1-NN pixels shared val,1-NN pixels,gender,,n_in_val,5
model_comparison,1-NN pixels shared val,1-NN pixels,gender,,accuracy,0.7707
model_comparison,1-NN pixels shared val,1-NN pixels,gender,,weighted_f1,0.7718
model_comparison,majority shared val,majority,gender,,macro_f1,0.1412
model_comparison,majority shared val,majority,gender,,macro_f1_in_val,0.1412
model_comparison,majority shared val,majority,gender,,n_classes,5
model_comparison,majority shared val,majority,gender,,n_in_val,5
model_comparison,majority shared val,majority,gender,,accuracy,0.5458
model_comparison,majority shared val,majority,gender,,weighted_f1,0.3855
model_comparison,C shared body forward split,C shared body,usage,,macro_f1,0.3588
model_comparison,C shared body forward split,C shared body,usage,,macro_f1_in_val,0.4784
model_comparison,C shared body forward split,C shared body,usage,,n_classes,8
model_comparison,C shared body forward split,C shared body,usage,,n_in_val,6
model_comparison,C shared body forward split,C shared body,usage,,accuracy,0.8957
model_comparison,C shared body forward split,C shared body,usage,,weighted_f1,0.8941
model_comparison,C shared body independent eval,C shared body,usage,,macro_f1,0.1124
model_comparison,C shared body independent eval,C shared body,usage,,macro_f1_in_val,0.1124
model_comparison,C shared body independent eval,C shared body,usage,,n_classes,7
model_comparison,C shared body independent eval,C shared body,usage,,n_in_val,7
model_comparison,C shared body independent eval,C shared body,usage,,accuracy,0.5747
model_comparison,C shared body independent eval,C shared body,usage,,weighted_f1,0.4778
model_comparison,C shared body per-target split,C shared body,usage,,macro_f1,0.4032
model_comparison,C shared body per-target split,C shared body,usage,,macro_f1_in_val,0.4608
model_comparison,C shared body per-target split,C shared body,usage,,n_classes,8
model_comparison,C shared body per-target split,C shared body,usage,,n_in_val,7
model_comparison,C shared body per-target split,C shared body,usage,,accuracy,0.8948
model_comparison,C shared body per-target split,C shared body,usage,,weighted_f1,0.8892
model_comparison,C weighted shared val,C weighted,usage,,macro_f1,0.4332
model_comparison,C weighted shared val,C weighted,usage,,macro_f1_in_val,0.4951
model_comparison,C weighted shared val,C weighted,usage,,n_classes,8
model_comparison,C weighted shared val,C weighted,usage,,n_in_val,7
model_comparison,C weighted shared val,C weighted,usage,,accuracy,0.8705
model_comparison,C weighted shared val,C weighted,usage,,weighted_f1,0.8717
model_comparison,C + logit adj shared val,C + logit adj,usage,,macro_f1,0.4256
model_comparison,C + logit adj shared val,C + logit adj,usage,,macro_f1_in_val,0.4864
model_comparison,C + logit adj shared val,C + logit adj,usage,,n_classes,8
model_comparison,C + logit adj shared val,C + logit adj,usage,,n_in_val,7
model_comparison,C + logit adj shared val,C + logit adj,usage,,accuracy,0.8636
model_comparison,C + logit adj shared val,C + logit adj,usage,,weighted_f1,0.8685
model_comparison,C + logit adj shared val,C + logit adj,usage,,tau,0.5
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,usage,,macro_f1,0.4105
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,usage,,macro_f1_in_val,0.4691
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,usage,,n_classes,8
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,usage,,n_in_val,7
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,usage,,accuracy,0.9
model_comparison,D articleType-pretrained shared val,D articleType-pretrained,usage,,weighted_f1,0.8943
model_comparison,C with external shared val,C with external,usage,,macro_f1,0.4076
model_comparison,C with external shared val,C with external,usage,,macro_f1_in_val,0.4659
model_comparison,C with external shared val,C with external,usage,,n_classes,8
model_comparison,C with external shared val,C with external,usage,,n_in_val,7
model_comparison,C with external shared val,C with external,usage,,accuracy,0.8952
model_comparison,C with external shared val,C with external,usage,,weighted_f1,0.8898
model_comparison,B joint label shared val,B joint label,usage,,macro_f1,0.4067
model_comparison,B joint label shared val,B joint label,usage,,macro_f1_in_val,0.4648
model_comparison,B joint label shared val,B joint label,usage,,n_classes,8
model_comparison,B joint label shared val,B joint label,usage,,n_in_val,7
model_comparison,B joint label shared val,B joint label,usage,,accuracy,0.8954
model_comparison,B joint label shared val,B joint label,usage,,weighted_f1,0.8898
model_comparison,C shared body shared val,C shared body,usage,,macro_f1,0.4056
model_comparison,C shared body shared val,C shared body,usage,,macro_f1_in_val,0.4636
model_comparison,C shared body shared val,C shared body,usage,,n_classes,8
model_comparison,C shared body shared val,C shared body,usage,,n_in_val,7
model_comparison,C shared body shared val,C shared body,usage,,accuracy,0.8901
model_comparison,C shared body shared val,C shared body,usage,,weighted_f1,0.8862
model_comparison,C unweighted shared val,C unweighted,usage,,macro_f1,0.4056
model_comparison,C unweighted shared val,C unweighted,usage,,macro_f1_in_val,0.4636
model_comparison,C unweighted shared val,C unweighted,usage,,n_classes,8
model_comparison,C unweighted shared val,C unweighted,usage,,n_in_val,7
model_comparison,C unweighted shared val,C unweighted,usage,,accuracy,0.8901
model_comparison,C unweighted shared val,C unweighted,usage,,weighted_f1,0.8862
model_comparison,C without external shared val,C without external,usage,,macro_f1,0.4056
model_comparison,C without external shared val,C without external,usage,,macro_f1_in_val,0.4636
model_comparison,C without external shared val,C without external,usage,,n_classes,8
model_comparison,C without external shared val,C without external,usage,,n_in_val,7
model_comparison,C without external shared val,C without external,usage,,accuracy,0.8901
model_comparison,C without external shared val,C without external,usage,,weighted_f1,0.8862
model_comparison,C shared body shared val,C shared body,usage,,macro_f1,0.4056
model_comparison,C shared body shared val,C shared body,usage,,macro_f1_in_val,0.4636
model_comparison,C shared body shared val,C shared body,usage,,n_classes,8
model_comparison,C shared body shared val,C shared body,usage,,n_in_val,7
model_comparison,C shared body shared val,C shared body,usage,,accuracy,0.8901
model_comparison,C shared body shared val,C shared body,usage,,weighted_f1,0.8862
model_comparison,C from scratch shared val,C from scratch,usage,,macro_f1,0.4056
model_comparison,C from scratch shared val,C from scratch,usage,,macro_f1_in_val,0.4636
model_comparison,C from scratch shared val,C from scratch,usage,,n_classes,8
model_comparison,C from scratch shared val,C from scratch,usage,,n_in_val,7
